transaction_id,customer_id,product_id,Date,Quantity,Unit_Price,Total_Cost,Discount_Rate,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Item_Returned,Return_Reason
86,86,86,2020-01-05,3,381.08200149587503,4596.7217630198,0.05,Critical,WH-3,2-Day,Cancelled,True,unkown
87,87,87,2020-01-07,9,17.404235265092765,1696.5743656039035,0.05,Critical,WH-2,Express,Delivered,True,Wrong Item
88,88,88,2020-01-05,5,425.22008597997313,6055.864207405013,0.15,Low,WH-3,Overnight,Delivered,True,Late
89,89,89,2020-01-09,4,480.7072180014679,5980.145120760652,0.1,Critical,WH-1,Express,Pending,True,Late
90,90,90,2020-01-06,4,210.61191519033895,6536.436390188143,0.2,Critical,WH-2,Overnight,Delivered,False,Damaged
91,91,91,2020-01-06,6,333.8969845811869,2221.2411509757867,0.0,Low,WH-2,2-Day,Delivered,False,Wrong Item
92,92,92,2020-01-01,8,446.20535129172544,6279.035250073831,0.2,High,WH-1,Overnight,Pending,True,Damaged
93,93,93,2020-01-09,5,265.4350633505281,6308.904306643778,0.0,Medium,WH-3,Overnight,Delivered,True,Not Specified
94,94,94,2020-01-01,6,158.43614376381032,8151.585408936801,0.15,Low,WH-2,2-Day,Delivered,False,Wrong Item
95,95,95,2020-01-08,8,436.9928767535186,2032.98990468964,0.15,Low,WH-2,Overnight,Cancelled,False,Not Specified
96,96,96,2020-01-07,3,183.66822490859687,6382.1409859754485,0.0,Critical,WH-3,Regular,Backorder,True,Late
97,97,97,2020-01-08,5,139.6711631934251,985.9269533937776,0.05,Medium,WH-1,Regular,Backorder,False,Late
98,98,98,2020-01-05,3,61.64267687282456,1402.1701146695768,0.1,Critical,WH-1,Overnight,Cancelled,False,Wrong Item
99,99,99,2020-01-07,2,395.2407696079184,3114.7722198515785,0.05,Low,WH-1,Express,Cancelled,False,Damaged
100,100,100,2020-01-02,6,97.88444504172809,6916.832430696043,0.15,Critical,WH-3,2-Day,Pending,False,Not Specified
101,101,101,2020-01-06,7,118.21786365187435,3869.328947358287,0.05,Critical,WH-3,2-Day,Delivered,True,Not Specified
102,102,102,2020-01-07,3,482.8575310326912,9801.939773455848,0.0,Critical,WH-2,Overnight,Delivered,False,Wrong Item
103,103,103,2020-01-04,1,225.2131946123615,1317.3054918129606,0.2,Medium,WH-2,2-Day,Pending,True,Late
104,104,104,2020-01-03,3,103.88054341006465,6321.560437596849,0.0,High,WH-3,Express,Backorder,False,Not Specified
105,105,105,2020-01-03,4,384.57595675699713,3491.7252235945093,0.0,Medium,WH-1,Overnight,Cancelled,False,Wrong Item
106,106,106,2020-01-08,9,36.140518524559866,7443.268284873524,0.0,Medium,WH-1,Express,Pending,True,Wrong Item
107,107,107,2020-01-07,4,102.38489681713304,3653.729294990532,0.1,High,WH-3,2-Day,Delivered,True,Wrong Item
108,108,108,2020-01-01,1,0.0,4699.317498845673,0.15,Medium,WH-2,2-Day,Backorder,False,Late
109,109,109,2020-01-07,7,264.1634872464916,5989.166977385305,0.0,Low,WH-2,2-Day,Pending,True,Damaged
110,110,110,2020-01-07,9,447.3535314683725,1989.720700509654,0.2,High,WH-1,Overnight,Delivered,False,unkown
111,111,111,2020-01-07,8,45.17014505099139,4812.9041563971405,0.05,High,WH-1,Regular,Delivered,False,Wrong Item
112,112,112,2020-01-05,6,148.42307232669762,0.0,0.15,Low,WH-1,Overnight,Cancelled,False,Late
113,113,113,2020-01-08,9,488.7334076750823,629.9829402264705,0.2,High,WH-1,Regular,Backorder,False,Late
114,114,114,2020-01-04,4,0.0,9670.375874488798,0.15,Critical,WH-3,2-Day,Delivered,True,unkown
115,115,115,2020-01-09,4,439.9603228606961,3739.106428637804,0.15,High,WH-1,Regular,Pending,True,Wrong Item
116,116,116,2020-01-01,3,495.4327869622253,5695.824321862031,0.0,High,WH-1,Express,Cancelled,True,Wrong Item
117,117,117,2020-01-03,3,97.83524983481712,1293.4866894601782,0.1,Low,WH-3,Overnight,Backorder,True,Wrong Item
118,118,118,2020-01-06,5,110.6131399663319,9377.113868157694,0.1,Medium,WH-1,2-Day,Cancelled,False,Late
119,119,119,2020-01-06,9,423.2298222160628,4313.886901345911,0.0,High,WH-1,Express,Cancelled,False,Not Specified
120,120,120,2020-01-05,9,446.5192121417419,7437.106318693867,0.2,Critical,WH-2,Regular,Pending,False,Damaged
121,121,121,2020-01-07,3,130.9436959089321,0.0,0.2,Medium,WH-3,Regular,Pending,False,Damaged
122,122,122,2020-01-09,9,14.889600562640194,9568.376324158702,0.1,Medium,WH-1,Express,Backorder,True,Damaged
123,123,123,2020-01-02,5,154.69772401019807,4662.696825859272,0.0,High,WH-1,Express,Delivered,False,Wrong Item
124,124,124,2020-01-04,4,308.7517383247818,2478.996205080921,0.05,High,WH-2,Express,Cancelled,False,Wrong Item
125,125,125,2020-01-01,1,0.0,7422.234700247725,0.0,Low,WH-2,Regular,Backorder,False,Damaged
126,126,126,2020-01-06,7,250.6369073977509,4192.900304827193,0.0,High,WH-1,Express,Cancelled,True,Late
127,127,127,2020-01-08,6,17.543496928741153,6256.971189074742,0.2,Medium,WH-3,Regular,Delivered,True,Late
128,128,128,2020-01-07,9,327.6758236515268,1862.9598416711904,0.1,Medium,WH-1,2-Day,Backorder,False,Late
129,129,129,2020-01-08,7,467.02814898505306,6787.428558582983,0.1,Critical,WH-2,Overnight,Backorder,True,unkown
130,130,130,2020-01-08,1,401.1636666325015,2387.123480525355,0.05,High,WH-3,Overnight,Pending,False,Not Specified
131,131,131,2020-01-08,2,0.0,831.6597502341262,0.0,Medium,WH-3,Overnight,Backorder,False,Wrong Item
132,132,132,2020-01-08,9,394.03174302686585,4402.493694996312,0.2,High,WH-1,Express,Delivered,True,Wrong Item
133,133,133,2020-01-08,9,20.73753109975439,1308.0356621477904,0.1,Low,WH-2,Overnight,Cancelled,False,Late
134,134,134,2020-01-06,7,483.7542949016498,9794.370477040138,0.15,Critical,WH-3,Express,Cancelled,True,Not Specified
135,135,135,2020-01-05,7,439.18271092335794,8332.479417243216,0.1,Low,WH-3,2-Day,Cancelled,True,Wrong Item
136,136,136,2020-01-09,9,311.9872381036048,7170.02081408103,0.0,High,WH-1,Express,Cancelled,False,unkown
137,137,137,2020-01-07,2,0.0,2421.792517002935,0.0,Medium,WH-1,Overnight,Delivered,True,Wrong Item
138,138,138,2020-01-08,5,0.0,8025.816350615923,0.0,Medium,WH-2,Overnight,Cancelled,True,Not Specified
139,139,139,2020-01-07,7,0.0,8472.213752312837,0.0,High,WH-1,2-Day,Pending,True,Not Specified
140,140,140,2020-01-05,6,164.6573984440415,4765.868295336196,0.15,Critical,WH-1,2-Day,Pending,True,Not Specified
141,141,141,2020-01-07,3,433.5722909654984,0.0,0.2,Medium,WH-3,2-Day,Delivered,False,Damaged
142,142,142,2020-01-05,5,314.0321546754656,3163.180149238419,0.0,Low,WH-3,Express,Pending,True,Not Specified
143,143,143,2020-01-06,3,0.0,4089.472530408273,0.0,Critical,WH-1,Overnight,Pending,True,Damaged
144,144,144,2020-01-03,4,11.871762102705723,1858.5106653244009,0.15,Low,WH-1,Regular,Delivered,True,Late
145,145,145,2020-01-05,3,153.26772410197464,5874.577030826247,0.2,High,WH-3,Overnight,Cancelled,True,Wrong Item
146,146,146,2020-01-04,5,480.4664461586692,9843.888461879798,0.1,High,WH-1,Regular,Pending,False,Wrong Item
147,147,147,2020-01-02,9,285.4156692572598,882.451028587705,0.1,Low,WH-3,2-Day,Delivered,True,Damaged
148,148,148,2020-01-08,9,404.20237479159294,4351.516838821972,0.0,Medium,WH-2,Overnight,Pending,False,Damaged
149,149,149,2020-01-03,2,221.84965093764015,1175.978949340143,0.1,Critical,WH-2,2-Day,Cancelled,True,Not Specified
150,150,150,2020-01-02,3,0.0,2365.982550784165,0.2,Critical,WH-2,2-Day,Backorder,False,Late
151,151,151,2020-01-04,2,312.22396784774514,654.3127104898101,0.15,Critical,WH-3,Regular,Pending,True,Wrong Item
152,152,152,2020-01-09,3,448.71958368505295,1482.6240911745922,0.0,High,WH-3,Overnight,Backorder,False,Not Specified
153,153,153,2020-01-06,9,169.39461567128524,9494.184324576288,0.1,Medium,WH-1,2-Day,Delivered,False,unkown
154,154,154,2020-01-04,4,262.35277325776434,1765.4942792979723,0.0,High,WH-2,Express,Delivered,True,Not Specified
155,155,155,2020-01-09,5,476.1973782143273,0.0,0.15,Critical,WH-2,2-Day,Cancelled,False,Late
156,156,156,2020-01-02,9,198.9428203315333,9017.459255455597,0.15,Low,WH-3,Overnight,Pending,False,Not Specified
157,157,157,2020-01-05,6,313.56783801778863,4234.8977301931445,0.2,Critical,WH-3,Overnight,Pending,False,Late
158,158,158,2020-01-05,4,182.94966669165476,2337.635758086584,0.2,High,WH-1,Overnight,Backorder,True,Late
159,159,159,2020-01-08,2,174.2867345383649,2156.8880375592453,0.05,Low,WH-1,Overnight,Delivered,True,Late
160,160,160,2020-01-06,1,211.85946656670995,1644.2497299673716,0.15,High,WH-3,2-Day,Cancelled,False,Late
161,161,161,2020-01-03,5,137.5159330127624,9879.693506505686,0.0,Critical,WH-1,Overnight,Pending,True,Wrong Item
162,162,162,2020-01-08,3,327.4305485353589,5179.406172156327,0.0,Low,WH-3,2-Day,Delivered,False,Damaged
163,163,163,2020-01-08,5,190.2151340005149,2148.212478372709,0.15,Medium,WH-2,2-Day,Pending,False,Not Specified
164,164,164,2020-01-08,9,334.2253013159297,2182.9584706149426,0.15,Critical,WH-3,Express,Cancelled,False,Damaged
165,165,165,2020-01-03,8,237.4066281322169,2727.043200109389,0.0,Low,WH-3,Overnight,Pending,False,Wrong Item
166,166,166,2020-01-09,8,204.83006549090655,8580.458016143602,0.1,Medium,WH-3,Regular,Backorder,True,Late
167,167,167,2020-01-08,8,222.03727664965527,6170.651560193233,0.1,High,WH-2,Express,Pending,False,Wrong Item
168,168,168,2020-01-07,9,207.4079084899922,4855.098529248661,0.0,High,WH-1,Overnight,Backorder,False,Not Specified
169,169,169,2020-01-02,6,315.5879013622304,2903.7502387424056,0.2,Critical,WH-3,2-Day,Pending,False,Late
170,170,170,2020-01-09,5,122.90416443750144,873.059435295697,0.0,Low,WH-2,2-Day,Pending,True,Damaged
171,171,171,2020-01-05,1,132.9375923886402,6901.469533565044,0.1,Low,WH-3,2-Day,Cancelled,False,Late
172,172,172,2020-01-09,9,461.2873153373222,2699.014530770332,0.05,Medium,WH-2,Overnight,Backorder,False,Not Specified
173,173,173,2020-01-07,9,94.13001477567028,9379.93419713886,0.2,Critical,WH-3,Express,Backorder,False,Wrong Item
174,174,174,2020-01-05,6,191.2084954337165,8361.753996603446,0.15,Medium,WH-2,Express,Cancelled,True,Late
175,175,175,2020-01-07,7,40.57309361315585,0.0,0.05,Low,WH-1,2-Day,Cancelled,False,unkown
176,176,176,2020-01-07,2,485.425983765768,4548.151760546192,0.0,Medium,WH-1,Overnight,Pending,False,Wrong Item
177,177,177,2020-01-02,1,330.6275826914327,728.0479260264442,0.1,Critical,WH-1,Regular,Delivered,True,Not Specified
178,178,178,2020-01-09,5,398.6400082584023,8352.23520481891,0.1,High,WH-3,Express,Delivered,False,Damaged
179,179,179,2020-01-08,4,314.9481996624506,1481.01758431296,0.1,Low,WH-3,2-Day,Delivered,True,Not Specified
180,180,180,2020-01-03,8,295.7634940957778,2496.0183326673423,0.0,Low,WH-2,Express,Delivered,True,Wrong Item
181,181,181,2020-01-06,6,440.80102857461134,5799.799918770696,0.1,High,WH-1,Express,Delivered,True,Damaged
182,182,182,2020-01-06,2,319.15167721229005,5548.8216847984,0.15,Medium,WH-2,Overnight,Backorder,False,Wrong Item
183,183,183,2020-01-07,2,450.29469629067125,3762.17367068762,0.0,Critical,WH-1,2-Day,Cancelled,False,Wrong Item
184,184,184,2020-01-01,6,420.6959377444349,6857.580784286234,0.0,Critical,WH-2,Overnight,Pending,False,Damaged
185,185,185,2020-01-04,5,353.55840126456206,2577.7819446121225,0.15,Critical,WH-1,Overnight,Cancelled,False,Damaged
186,186,186,2020-01-03,9,217.08830653666848,6875.384992316773,0.05,High,WH-3,2-Day,Cancelled,False,unkown
187,187,187,2020-01-09,3,307.29854511154383,6925.430144790879,0.15,Medium,WH-1,2-Day,Delivered,True,Damaged
188,188,188,2020-01-06,3,277.7508548781452,8264.400466025749,0.05,Critical,WH-3,Overnight,Cancelled,True,Not Specified
189,189,189,2020-01-06,9,56.74564588347321,5080.254939738498,0.15,Low,WH-2,Regular,Backorder,True,Wrong Item
190,190,190,2020-01-02,5,351.11651111758334,2594.632574440118,0.2,Critical,WH-3,Regular,Delivered,False,Damaged
191,191,191,2020-01-02,9,242.22139785689032,6086.00440258147,0.05,Medium,WH-2,Express,Delivered,False,Late
192,192,192,2020-01-04,9,394.04232281721255,2684.940662650785,0.05,Medium,WH-2,Regular,Pending,False,Not Specified
193,193,193,2020-01-01,1,24.71274261140248,561.4113990022503,0.0,Low,WH-1,Overnight,Delivered,True,Not Specified
194,194,194,2020-01-05,7,31.510971895072508,8299.319664341838,0.2,Critical,WH-3,Overnight,Cancelled,False,Late
195,195,195,2020-01-02,2,0.0,698.8741193539661,0.1,Medium,WH-1,Overnight,Cancelled,True,Wrong Item
196,196,196,2020-01-02,3,237.85466358794952,727.4895200695931,0.0,Medium,WH-1,Regular,Backorder,True,Not Specified
197,197,197,2020-01-04,4,290.577544112191,4981.528456425172,0.2,Low,WH-3,Overnight,Delivered,False,Late
198,198,198,2020-01-07,2,263.8006585791637,7302.474745800372,0.0,Low,WH-3,Regular,Delivered,True,Wrong Item
199,199,199,2020-01-02,2,420.1886176370196,3495.9555610281163,0.2,Medium,WH-1,2-Day,Pending,False,Late
200,200,200,2020-01-05,1,137.1924601447741,5877.175036434299,0.2,Medium,WH-2,Overnight,Pending,False,Late
201,201,201,2020-01-08,3,234.27280652805405,0.0,0.15,Critical,WH-3,Regular,Backorder,False,Not Specified
202,202,202,2020-01-01,7,359.8858344552821,1159.2438160897425,0.0,High,WH-2,Overnight,Backorder,False,Late
203,203,203,2020-01-04,4,113.701590299232,0.0,0.0,Critical,WH-2,Overnight,Pending,True,Not Specified
204,204,204,2020-01-08,3,53.41630984514274,0.0,0.2,High,WH-3,Regular,Pending,False,Late
205,205,205,2020-01-08,9,339.7071176130591,6956.515232753864,0.1,High,WH-1,Regular,Backorder,True,Wrong Item
206,206,206,2020-01-07,7,46.31165706168487,0.0,0.2,High,WH-2,Express,Cancelled,False,Late
207,207,207,2020-01-06,7,128.5277141153157,0.0,0.05,Low,WH-1,Regular,Cancelled,True,Wrong Item
208,208,208,2020-01-01,4,208.2184189311961,9009.054470532858,0.15,Critical,WH-1,Overnight,Cancelled,False,Damaged
209,209,209,2020-01-02,8,42.6167166779692,3315.0951180481006,0.1,High,WH-2,Regular,Backorder,True,Not Specified
210,210,210,2020-01-06,7,256.2893088887639,4109.801250171249,0.0,Medium,WH-2,Overnight,Pending,True,Not Specified
211,211,211,2020-01-07,4,483.3632775130519,0.0,0.0,Medium,WH-3,2-Day,Backorder,True,Damaged
212,212,212,2020-01-03,3,51.43703526764655,0.0,0.1,Critical,WH-3,Express,Cancelled,False,Damaged
213,213,213,2020-01-03,8,446.300663437471,4119.042527723012,0.1,Medium,WH-2,2-Day,Cancelled,True,Not Specified
214,214,214,2020-01-01,4,0.0,2182.281426274253,0.1,Medium,WH-1,Overnight,Backorder,False,Not Specified
215,215,215,2020-01-09,6,427.7482364105255,0.0,0.0,Medium,WH-3,Regular,Backorder,False,Late
216,216,216,2020-01-01,1,101.98397878920352,8471.892776672148,0.0,Medium,WH-1,Overnight,Cancelled,False,unkown
217,217,217,2020-01-01,3,142.69510073811657,3286.8575036895936,0.0,High,WH-3,Express,Cancelled,True,Wrong Item
218,218,218,2020-01-09,6,396.753495676646,7155.80921574729,0.05,Medium,WH-1,2-Day,Backorder,False,Late
219,219,219,2020-01-08,1,36.62269706322287,5923.335459975025,0.1,High,WH-2,Express,Delivered,False,Damaged
220,220,220,2020-01-03,6,367.3789491031182,560.6009123626114,0.0,High,WH-3,Regular,Delivered,True,Not Specified
221,221,221,2020-01-06,1,222.8576263132388,6806.332511100889,0.0,High,WH-1,Regular,Delivered,False,unkown
222,222,222,2020-01-05,8,471.934916356115,0.0,0.1,High,WH-2,Overnight,Delivered,True,Damaged
223,223,223,2020-01-07,9,444.185783303472,1765.2301938414723,0.0,High,WH-3,Regular,Backorder,False,Wrong Item
224,224,224,2020-01-01,8,457.75633749789705,8792.164504873814,0.1,Critical,WH-2,Overnight,Backorder,False,Wrong Item
225,225,225,2020-01-08,6,67.60013707360778,8290.641269528669,0.05,Medium,WH-1,2-Day,Cancelled,True,Wrong Item
226,226,226,2020-01-09,6,0.0,4678.628577281432,0.15,Medium,WH-1,2-Day,Cancelled,False,Late
227,227,227,2020-01-06,6,134.1034679261304,6663.271168514167,0.2,Medium,WH-2,Express,Backorder,False,Not Specified
228,228,228,2020-01-04,5,439.9017220350909,1253.1627039963216,0.0,High,WH-2,Express,Pending,False,Not Specified
229,229,229,2020-01-06,7,356.41847885330094,9307.67592771227,0.1,High,WH-2,Overnight,Delivered,False,Not Specified
230,230,230,2020-01-06,8,0.0,3423.8236002849167,0.1,Low,WH-3,Express,Backorder,True,Damaged
231,231,231,2020-01-05,6,307.79881471686974,5786.414054813809,0.0,Critical,WH-1,Express,Pending,False,Wrong Item
232,232,232,2020-01-01,9,442.45433961845015,1056.3704002030718,0.2,Critical,WH-2,Express,Backorder,False,Damaged
